"query_start_ts","query_end_ts","query_id","query_text"
"2024-09-17 00:00:00","2024-09-17 00:00:59","system_prep_1_drop_ext","DROP TABLE IF EXISTS external_insert_10r_100q;"
"2024-09-17 00:01:00","2024-09-17 00:01:59","system_prep_2_create_ext","CREATE EXTERNAL TABLE external_insert_10r_100q (sourceip TEXT NOT NULL, destinationurl TEXT NOT NULL, visitdate PGDATE NOT NULL, adrevenue REAL NOT NULL, useragent TEXT NOT NULL, countrycode TEXT NOT NULL, languagecode TEXT NOT NULL, searchword TEXT NOT NULL, duration INTEGER NOT NULL) OBJECT_PATTERN = '*' TYPE = (PARQUET) URL = 's3://firebolt-benchmarks-requester-pays-{{region}}/firenewt/100gb/uservisits/' {{public_requester_pays_bucket_credentials}};"
"2024-09-17 00:02:00","2024-09-17 00:02:59","system_prep_3_drop","DROP TABLE IF EXISTS insert_10r_100q;"
"2024-09-17 00:03:00","2024-09-17 00:03:59","system_prep_4_create","CREATE FACT TABLE insert_10r_100q (sourceip TEXT NOT NULL, destinationurl TEXT NOT NULL, visitdate PGDATE NOT NULL, adrevenue REAL NOT NULL, useragent TEXT NOT NULL, countrycode TEXT NOT NULL, languagecode TEXT NOT NULL, searchword TEXT NOT NULL, duration INTEGER NOT NULL) PRIMARY INDEX visitdate, destinationurl, sourceip;"
"2024-09-17 00:04:00","2024-09-17 00:04:59","system_prep_5_ingest","INSERT INTO insert_10r_100q SELECT * FROM external_insert_10r_100q;"
"2024-09-17 00:05:00","2024-09-17 00:05:59","system_prep_6_vacuum","VACUUM insert_10r_100q;"
"2024-09-17 00:06:00","2024-09-17 00:06:59","system_prep_7_checksum","SELECT checksum(*) FROM insert_10r_100q;"
"2024-09-17 00:07:00","2024-09-17 00:07:59","insert_10r_100q_1","INSERT INTO insert_10r_100q VALUES
    ('225.5.173.93', 'hajvohalcfdjpjkspu', '2014-04-27', 0.25397938, 'Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)', 'ESP', 'ESP-CA', 'wwo', 3),
    ('254.130.96.178', 'hanaemhgisgntrpwswiyksdjavovlgytsqgbybefolxcaeorkghwavxbwebimuchbb', '2014-04-27', 0.20839521, 'Vskcbdvjmtfljqbsiful/1.2', 'MYS', 'MYS-MS', 'ctcn', 10),
    ('156.213.232.33', 'hankhrjhmeornjikgiiahsvwo', '2014-04-27', 0.27730167, 'Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)', 'ARG', 'ARG-ES', 'sirbh', 6),
    ('221.31.201.193', 'haofaraukckhgypgujlemmjrsapvrdqorhtnfiudgudpwoseriexgxysp', '2014-04-27', 0.111777574, 'Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)', 'HUN', 'HUN-HU', 'tbvtud', 6),
    ('108.74.71.192', 'haouyxxppygyiudkwpqfkvpkiledhwqbbpw', '2014-04-27', 0.58535355, 'Ugrvkgrexxyij/2.8', 'CHL', 'CHL-ES', 'ervuqhw', 4),
    ('187.198.193.69', 'hasriqxuyirksghhuxegaedbtoarmrfrayrjwliqshrjfxpclmdraijg', '2014-04-27', 0.99580204, 'iPhone 3.0: Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML like Gecko) Version/4.0 Mobile/7A341 Safari/528.16', 'TUN', 'TUN-AR', 'rhpawqwltddni', 3),
    ('245.1.150.33', 'hataufceposfhbafrmqvlnvsortdsoahpowihxklrxlshkawowqfocscql', '2014-04-27', 0.51315296, 'Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)', 'ITA', 'ITA-IT', 'khwpuw', 2),
    ('216.124.58.120', 'hawahnpwelqwosixqgclvqbpyructbqwufbgometwncjalbohgvdyixk', '2014-04-27', 0.6898214, 'Jfvfdsrr/8.4', 'SLV', 'SLV-ES', 'ebscvitahxoagv', 10),
    ('79.147.169.187', 'hawbwpcxbhuewh', '2014-04-27', 0.44072226, 'Bgvwini/4.', 'DEU', 'DEU-DE', 'npajxsiybse', 1),
    ('19.158.71.222', 'hawdutpiutrbnnuforbsvimqoatetpuihrlhpumcvkblmxilocdwhjlsbj', '2014-04-27', 0.36595905, 'Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)', 'URY', 'URY-ES', 'lpwiiwk', 7)
;"
"2024-09-17 00:08:00","2024-09-17 00:08:59","insert_10r_100q_2","INSERT INTO insert_10r_100q VALUES
    ('207.104.228.45', 'hbaqqysmhbljkwkygamrlqxbvbkakkmrrnmbwqddlyngrawcyjqhfsrsfsuvqpuycdlcqxon', '2014-04-27', 0.58684295, 'Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx', 'BEL', 'BEL-NL', 'mkkrdal', 6),
    ('232.88.191.51', 'hbbxsurrgowwgdenrvnoikwrqhgkvekjbpldetjjtpmvo', '2014-04-27', 0.5929928, 'Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)', 'PAN', 'PAN-ES', 'oeljfwxfa', 4),
    ('15.124.106.150', 'hbcxgibscilflayaccpmwbpqabc', '2014-04-27', 0.7403571, 'Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)', 'PRI', 'PRI-ES', 'asdcwdkohbg', 4),
    ('146.232.184.10', 'hbdrxiccinddxqhgrineheympagxuhpokxafwlnixvledxmecbecgfklmhjpjxeylgpnboluirwsjkpbgpyar', '2014-04-27', 0.68638974, 'Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)', 'BIH', 'BIH-SR', 'aorartqytbvp', 5),
    ('167.245.7.20', 'hbdxvadkfyptmunqwhbxivclqbkjegiiupwwlsnq', '2014-04-27', 0.19606884, 'Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)', 'BOL', 'BOL-ES', 'lwjsaw', 7),
    ('241.115.115.245', 'hbgjxtccdwbjkviuqanprmlrfentaqstovhrhjaaoslfmdrygdolvjrdethrnrsoxsgmntcewobemytapspd', '2014-04-27', 0.16503075, 'Angsejbtnamweyhrl/3.6', 'PRI', 'PRI-ES', 'asyshgwdlhyy', 4),
    ('86.66.202.105', 'hbgvvwvjiefpchpmpxnmpbnqsacstwyqfrnfquvdvgcntkxvmvvwkdenqpxggtorfbufokqfdggcbxntjgd', '2014-04-27', 0.825956, 'Opera/8.0 (Macintosh; PPC Mac OS X; U; en)', 'IND', 'IND-EN', 'awrw', 10),
    ('107.193.117.35', 'hbhedivaippngirlfwsvibgpewvbbtibpkycrkkssvoqtvfnxcbosmtkibsfqmjlavldmdroatdvrwsnm', '2014-04-27', 0.87284195, 'Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)', 'PRT', 'PRT-PT', 'oasgwysxipx', 10),
    ('152.76.199.202', 'hbhstfeoekduempcfoemgqtmbplaypstgrnyphevexfhbkdemwjhgaijafgeuywekapbhjwuoqjfmvwt', '2014-04-27', 0.1164013, 'Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)', 'VNM', 'VNM-VI', 'gypsxvffitc', 9),
    ('157.217.8.74', 'hbkmkppxatigewshbtlujcnicomhprptmixjrevjraxjdxflqodewqyqkbmtrnphghjfanyrc', '2014-04-27', 0.13405108, 'Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx', 'CYP', 'CYP-EL', 'xugexvgkc', 9)
;"
"2024-09-17 00:09:00","2024-09-17 00:09:59","insert_10r_100q_3","INSERT INTO insert_10r_100q VALUES
    ('254.112.68.13', 'hblfvdvtiakqkwmisogowqdmeuhooucfdnmkhilnelilrtvvhqlvjqenlqbssfknajqcikyfgod', '2014-04-27', 0.3461816, 'Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)', 'HRV', 'HRV-HR', 'dpdtboyeqjsytdku', 1),
    ('35.23.246.183', 'hblpdcsbesjmnchamcldpuqqbjmbwdowffkktxmhleaoniirjmwjvuwfdrrwlil', '2014-04-27', 0.43212074, 'Netscape 4.8 ( Win XP): Mozilla/4.8 (Windows NT 5.1; U)', 'USA', 'USA-EN', 'mtepeisbeacoc', 6),
    ('91.134.136.57', 'hblxtwpcohcawmkvxybygsukrauusngoglewcojqftsdrjd', '2014-04-27', 0.87534946, 'Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3', 'PAN', 'PAN-ES', 'bidpigbuyvd', 7),
    ('50.18.237.22', 'hbmdrihahgfiqprqboyowgpdqujsrvvecphqgxmtpdpdydknewoytioxfksyxqmqosjyflcxxrqvmxfrnnqfdi', '2014-04-27', 0.41568813, 'Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)', 'MNE', 'MNE-SR', 'ctlikeqaxlyhpwb', 9),
    ('92.155.204.211', 'hbnfrpihinwlnjpxthfxbiaxwlaoocqonaqrqxceccfnlxcqrplfekggcmpnwsa', '2014-04-27', 0.6159009, 'Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)', 'SVN', 'SVN-SL', 'vfuu', 10),
    ('251.2.45.43', 'hbpparebfvmmyqbdalhvkkvsxyylwfyyrnmxxbeaacamvwigyps', '2014-04-27', 0.37425625, 'Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx', 'ALB', 'ALB-SQ', 'oibmxofagq', 3),
    ('225.95.70.55', 'hbqkrvbggfmrdbsoldkaphuvjly', '2014-04-27', 0.6936806, 'Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)', 'SDN', 'SDN-AR', 'sirbh', 4),
    ('100.208.119.159', 'hbschapaitxftsbdlpyxbdoknhdvwvuvynultmofghrpgxrluh', '2014-04-27', 0.45333877, 'Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)', 'SGP', 'SGP-ZH', 'cftfoekcyosenjith', 8),
    ('94.140.29.48', 'hbsvsqmyvxjnofgjpktptidnftfypxbsystgoljmtcwdkhclayftjlenvwekqlodfikcjvntbbslim', '2014-04-27', 0.8138454, 'Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)', 'BRA', 'BRA-PT', 'ebvia', 9),
    ('185.194.221.187', 'hbtgojawaryecqtrycneilcqxtgbvs', '2014-04-27', 0.109655656, 'Netscape 7.1 (Win 98): Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.4) Gecko Netscape/7.1 (ax)', 'MYS', 'MYS-MS', 'wlugoxhrn', 6)
;"
